NCAC	111.06630050756604
HNCA	114.54317495429343
CACO	120.44839194868598
NCAHA	107.85937439613762
CCAHA	108.3037642607557
NCACB	110.55507633467475
CCACB	110.11902747800215
HACACB	108.87561802317398
CACBHB2	108.96076593879728
CACBHB3	108.9621636276339
HB2CBCG	108.96226323672184
HB3CBCG	108.96214751549124
HB2CBHB3	107.00413715940954
CBCGHG2	109.22223175966221
CBCGHG3	109.22589585426488
HG2CGCD	109.22225577475149
HG3CGCD	109.22358940088066
HG2CGHG3	107.00416197467166
CGCDNE2	116.44521164082455
OE1CDNE2	122.57413221334811
CDNE2HE21	119.99950892257161
CDNE2HE22	120.00041675296379
HE21NE2HE22	120.00097213711301
CACBCG	113.7684756515649
CBCGCD	112.77611454459205
CGCDOE1	120.94895904632844
