NCAC	110.854545351924
HNCA	114.42691062833273
CACO	120.50042037044584
NCAHA	108.00014262422191
CCAHA	108.47437032267399
NCACB	110.54388123886213
CCACB	110.06681259006699
HACACB	108.847233330071
CACBHB2	108.9741329913433
CACBHB3	108.97907187711589
HB2CBCG	108.97477141115534
HB3CBCG	108.97579427347607
HB2CBHB3	107.00423925038561
CACBCG	113.7126286454132
CBCGCD1	120.96781238592018
CBCGCD2	120.84950904729462
CGCD1CE1	121.13455668244681
CGCD2CE2	121.15985201713053
CD1CE1CZ	119.54236806891132
CD2CE2CZ	119.56827141585259
CE1CZOH	119.78091597110901
CE2CZOH	119.77483008485326
CE1CZCE2	120.42155526348562
CD1CGCD2	118.12963002480402
CGCD1HD1	119.43361693657697
CGCD2HD2	119.41990407655366
HD1CD1CE1	119.43333052431363
HD2CD2CE2	119.42063721396464
CD1CE1HE1	120.22866180265683
CD2CE2HE2	120.21805113879677
HE1CE1CZ	120.22976159866566
HE2CE2CZ	120.21601247853596
CZOHHH	109.49994288038542
