NCAC	110.69446408710377
HNCA	114.48268295167779
CACO	120.4934669297788
NCAHA	107.55990119763297
CCAHA	109.04385215099836
NCACB	111.1817414826606
CCACB	109.74630019721751
HACACB	108.57797914604609
CACBCG2	111.20288713417915
CACBOG1	109.22904411406464
CACBHB	108.42995132586077
HBCBOG1	110.34314329896557
HBCBCG2	108.33387326535619
CBOG1HG1	109.50232580893443
CBCG2HG21	109.50206715220384
CBCG2HG22	109.50018163488949
CBCG2HG23	109.49971991257357
HG21CG2HG22	109.44600736020983
HG21CG2HG23	109.44114410754807
CG2CBOG1	109.31349195505345
HG22CG2HG23	109.44104714829315
