NCAC	112.68711006645017
CACO	120.2186572257726
NCAHA	111.98006490345746
CCAHA	104.58477687370463
NCACB	103.26798764105517
CCACB	110.86538351415422
HACACB	113.79889346237717
CACBHB2	111.37746614535355
CACBHB3	111.37897031136269
HB2CBCG	111.37749310955073
HB3CBCG	111.37910618774478
HB2CBHB3	107.00425213975706
CACBCG	104.41289586885607
CBCGCD	105.40239174592364
CBCGHG2	111.12815425403167
CBCGHG3	111.13010797719436
HG2CGCD	111.12779561678057
HG3CGCD	111.12942988187446
HG2CGHG3	107.00415264289299
CGCDHD2	111.74245224666434
CGCDHD3	111.74414808766485
HD2CDHD3	107.00428479959771
CGCDN	102.98073415141836
NCDHD2	111.74279902566647
NCDHD3	111.74390191050341
CDNCA	111.84716962488567
CDNC	128.0
