NCAC	111.1607500711373
HNCA	114.55078196160846
CACO	120.45334101550297
NCAHA	107.83110485365818
CCAHA	108.1849115868203
NCACB	110.53228152156734
CCACB	110.1795363678325
HACACB	108.88164508992193
CACBHB2	108.943258923445
CACBHB3	108.9448190804468
HB2CBCG	108.94305731915458
HB3CBCG	108.94489352029785
HB2CBHB3	107.00425789864798
CBCGHG2	109.06327202018822
CBCGHG3	109.06456759249203
HG2CGCD	109.06302515733789
HG3CGCD	109.06453331961775
HG2CGHG3	107.0041065251782
CGCDOE1	119.03704063408283
CGCDOE2	118.04823038356788
OE1CDOE2	122.88621208322536
CACBCG	113.83448142535207
CBCGCD	113.38097881304871
