NCAC	110.93056386927594
HNCA	114.58241474294444
CACO	120.45240088971582
NCAHA	107.9381064544709
CCAHA	108.42748940088033
NCACB	110.56245103619298
CCACB	110.08049063658684
HACACB	108.84595640020362
CACBHB2	108.96644880015978
CACBHB3	108.96778884206213
HB2CBCG	108.96769133522304
HB3CBCG	108.96794166436034
HB2CBHB3	107.00407764289798
CBCGHG2	109.23308879624011
CBCGHG3	109.23632887558246
HG2CGHG3	107.0042548719416
CBCGSD	112.73748595793452
HG2CGSD	109.23317388655569
HG3CGSD	109.23460721399292
CGSDCE	101.58828386036518
SDCEHE1	109.49967162842006
SDCEHE2	109.49985120526776
SDCEHE3	109.49962930866052
HE1CEHE2	109.446072580448
HE1CEHE3	109.44104922737723
CACBCG	113.74986731990325
HE2CEHE3	109.44102709887542
