NCAC	110.85672865416635
HNCA	114.515379032721
CACO	120.41610518396521
NCAHA	108.02499276717164
CCAHA	108.48578282157513
NCACB	110.46706259340398
CCACB	110.01571216393044
HACACB	108.93625194216635
CACBHB2	108.34211219499923
CACBHB3	108.34340609940912
CACBCG	116.10102302616811
HB2CBCG	108.34283779216675
HB3CBCG	108.3437237041372
HB2CBHB3	107.00416700746959
CBCGCD1	110.41490055269543
CBCGCD2	110.68241773876521
CBCGHG	108.42398011496915
HGCGCD1	108.45106774202559
HGCGCD2	108.16986720244546
CGCD1HD11	109.50068764156774
CGCD1HD12	109.50000034262568
CGCD1HD13	109.50007874419417
HD11CD1HD12	109.44603871443283
HD11CD1HD13	109.44108853311972
HD12CD1HD13	109.44109050868433
CGCD2HD21	109.50106967749166
CGCD2HD22	109.49985834137605
CGCD2HD23	109.49956645090533
HD21CD2HD22	109.44604007812036
HD21CD2HD23	109.44115092590117
HD22CD2HD23	109.44115164143946
CD1CGCD2	110.67003097044099
